id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,instrumentalness,duration_seconds,popularity
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,0.15,210,0.92
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,0.72,195,0.78
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,0.08,245,0.65
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,0.68,180,0.72
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,0.12,202,0.88
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,0.88,320,0.42
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,0.65,198,0.55
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,0.45,220,0.68
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,0.75,188,0.82
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,0.22,215,0.75
11,Neon Dreams,Synth Wave Collective,electronic,uplifting,0.85,128,0.88,0.75,0.08,0.52,240,0.71
12,Street Pulse,MC Flow,hip-hop,energetic,0.78,96,0.72,0.84,0.12,0.18,235,0.85
13,Midnight Soul,Crystal Waters,soul,romantic,0.65,105,0.79,0.71,0.42,0.28,210,0.62
14,Funky Groove,The Groove Squad,funk,playful,0.88,118,0.82,0.91,0.35,0.35,225,0.58
15,Island Breeze,Reggae Vibes,reggae,chill,0.52,90,0.68,0.65,0.78,0.42,240,0.48
16,Digital Rush,Pulse Masters,techno,intense,0.92,130,0.55,0.88,0.05,0.78,320,0.52
17,Rainy Blues,Bad Bones,blues,melancholic,0.48,75,0.42,0.52,0.81,0.58,245,0.38
18,Open Roads,Country Hearts,country,contemplative,0.58,100,0.65,0.68,0.87,0.55,230,0.45
19,Heaven's Gate,Gospel Choir,gospel,spiritual,0.62,112,0.85,0.68,0.78,0.22,265,0.35
20,Velvet Touch,Neo Soul Collective,r&b,smooth,0.72,105,0.75,0.78,0.55,0.25,215,0.68
21,Warehouse Vibes,House Collective,house,euphoric,0.86,126,0.80,0.89,0.08,0.48,290,0.74
22,Broken Mirror,Whispers,alternative,dark,0.68,115,0.45,0.72,0.28,0.35,248,0.52
23,Wildflower Path,Simon Jones,folk,warm,0.45,88,0.72,0.58,0.92,0.68,220,0.40
24,City Nights,Trap Kings,trap,aggressive,0.84,142,0.38,0.82,0.10,0.22,195,0.79
25,Symphony in Minor,Classical Dreams,classical,contemplative,0.35,80,0.58,0.42,0.95,0.92,420,0.32
26,Blood Red,Thrash Metal,metal,aggressive,0.96,165,0.25,0.74,0.05,0.15,280,0.28
